,MIN,MAX,AMP,MED,SUM,STD,VAR,SKW,KURT,SE,LABEL,CLASS
0,-65.08,146.86,3.5999599999999994,4.52,3599.9599999999996,20.204988808984062,408.24157277117115,0.23446317101304662,3.668097862177654,,AF,1
1,-69.01,70.88,3.33317,4.29,3333.17,15.172685168628734,230.21037522632633,-0.22945605298252708,1.4188462347125705,-12.140275314068427,AF,1
2,-50.81,46.74,3.57474,3.76,3574.74,12.818552961720462,164.31530003243245,-0.09514817741183955,0.08660729511019838,-12.376323690264133,AF,1
3,-57.05,51.0,3.20736,3.145,3207.36,13.994245608125524,195.83891014054055,-0.03992254228214395,0.4794329394815149,-12.2297801637582,AF,1
4,-53.96,40.37,3.32479,3.81,3324.79,13.756952020152749,189.25372888478478,-0.3549145402139316,0.5985636264449989,-12.237410936650374,AF,1
5,-51.22,44.72,3.2755,3.895,3275.5,14.406811304447697,207.55621196196196,-0.15720848635645926,0.4259625850715354,-12.229610862594303,AF,1
6,-56.34,40.06,3.45936,4.375,3459.36,13.524003884629414,182.8986810714715,-0.3258981484174075,0.6679310809434749,-12.274206324460401,AF,1
7,-68.72,49.75,3.39438,4.415,3394.38,13.525503586294407,182.93924726286286,-0.4674974729721146,1.5660592498582258,-12.151696897563616,AF,1
8,-54.5,43.52,3.30159,3.83,3301.59,13.229723358863255,175.02558015205204,-0.296676534848243,0.8746567707857209,-12.201432859177977,AF,1
9,-48.05,42.1,3.6231199999999997,4.845,3623.12,13.01337484246075,169.34792479039038,-0.4256723750550256,0.805937009422065,-12.24043373915245,AF,1
10,-66.62,48.53,3.5150699999999997,4.6899999999999995,3515.0699999999997,14.308466172140859,204.7322041992993,-0.4156511965446532,1.118070320464783,,AF,1
11,-38.74,36.11,3.05179,3.285,3051.79,12.55240242752767,157.5628067026026,-0.20029650135357302,0.05681548240904899,-12.351708612560447,AF,1
12,-71.12,43.14,3.5590199999999994,4.35,3559.0199999999995,13.61693162450581,185.42082686646646,-0.3323258529875091,1.1101230914387354,,AF,1
13,-69.66,48.6,3.1150100000000003,3.7,3115.01,13.004163505138205,169.10826846836838,-0.3285386922386271,1.1453261950276374,,AF,1
14,-40.04,45.19,3.60703,3.7800000000000002,3607.0299999999997,13.351341618058543,178.2583230021021,-0.2666352731359196,0.44680452339386223,,AF,1
15,-59.74,38.75,2.95669,3.09,2956.69,13.492567610526345,182.04938072462463,-0.34248052189442196,0.7620873749853692,,AF,1
16,-62.88,48.54,3.71971,4.165,3719.71,13.03954528951287,170.02974135725725,-0.37910098488090704,1.6986602485650293,-12.097553506008373,AF,1
17,-64.09,39.86,3.30367,4.35,3303.67,14.200767120755058,201.6617868179179,-0.5108928794298615,0.6733473576900746,-12.389916810193816,AF,1
